1;2;3
Przetłumacz na język francuski;Zastosuj wyrażenia potoczne;Wyrażenia
Jak powiedzieć: "To gaduła/krzykacz"?;C'est une grande gueule.;duża gęba
Jak powiedzieć: "Ma świński charakter"?;Il a un caractère de cochon.;charakter świni
Jak powiedzieć: "To gbur/mruk" (o osobie)?;C'est un ours.;niedźwiedź
Jak powiedzieć: "Zadziera nosa!"?;Il se la joue !;udaje kogoś
Jak powiedzieć: "To leser"?;C'est un fumiste.;dymić
Jak powiedzieć: "To pozer"?;C'est un frimeur.;pokazuje się
Jak powiedzieć: "Ona ma długie ręce/wpływy"?;Elle a le bras long.;długie ramię
Jak powiedzieć: "Jest śliczna jak obrazek"?;Elle est jolie comme un coeur.;ładna jak serduszko
Jak powiedzieć: "(On) Ma kręcone włosy jak baranek"?;Il est frisé comme un mouton.;jak owca
Jak powiedzieć: "Marc jest brzydki jak noc"?;Marc est laid comme un pou.;brzydki jak wesz
Jak powiedzieć: "Alice jest ślepa jak kret"?;Alice est myope comme une taupe.;krótkowzroczna
Jak powiedzieć: "To wredota"?;C'est une peau de vache.;skóra krowy
Jak powiedzieć: "Marc, to tchórz"?;Marc, c'est une poule mouillée.;mokra kura
Jak powiedzieć: "Jest uparty jak osioł"?;Il est têtu comme une mule.;uparty jak muł
